,epoch,train_loss,train_acc,lr_0,lr_1,lr,sub_epoch_reg_loss
0,0.0,1.1752761602401733,0.25,4e-06,4e-06,4e-06,0.004578623455017805
1,0.5,1.2288049043427829,0.19318181818181818,4.4000000000000006e-05,4.4000000000000006e-05,4.4000000000000006e-05,0.00457492470741272
2,1.0,1.1728723049163818,0.1875,8.400000000000001e-05,8.400000000000001e-05,8.400000000000001e-05,0.004559938330203295
3,1.5,1.1480242666649454,0.18181818181818182,0.000124,0.000124,0.000124,0.00451731076464057
4,2.0,1.110703945159912,0.375,0.000164,0.000164,0.000164,0.004445525351911783
5,2.5,1.0702344067967688,0.4602272727272727,0.00020400000000000003,0.00020400000000000003,0.00020400000000000003,0.004349822644144297
6,3.0,0.9529178142547609,0.5625,0.00024400000000000002,0.00024400000000000002,0.00024400000000000002,0.004232269246131182
7,3.5,0.9832709304728614,0.5284090909090909,0.000284,0.000284,0.000284,0.004150914028286934
8,4.0,1.05968177318573,0.375,0.00032399999999999996,0.00032399999999999996,0.00032399999999999996,0.004092877265065908
9,4.5,1.0316811793410843,0.4715909090909091,0.000364,0.000364,0.000364,0.00401002261787653
10,5.0,1.0409793853759766,0.4375,0.00040400000000000006,0.00040400000000000006,0.00040400000000000006,0.003828351618722081
11,5.5,1.0242433777047866,0.4772727272727273,0.000444,0.000444,0.000444,0.0036177809815853834
12,6.0,0.8979648351669312,0.5625,0.00048400000000000006,0.00048400000000000006,0.00048400000000000006,0.0034076941665261984
13,6.5,0.9333940354619144,0.5454545454545454,0.000524,0.000524,0.000524,0.0030624931678175926
14,7.0,0.9516162872314453,0.5,0.000564,0.000564,0.000564,0.0027144148480147123
15,7.5,0.9462345152411811,0.5227272727272727,0.000604,0.000604,0.000604,0.002336010104045272
16,8.0,0.768754780292511,0.6875,0.000644,0.000644,0.000644,0.00190898054279387
17,8.5,0.8653956117412609,0.5909090909090909,0.000684,0.000684,0.000684,0.0013937847688794136
18,9.0,0.830186128616333,0.625,0.000724,0.000724,0.000724,0.0011288730893284082
19,9.5,0.8638122511154293,0.5795454545454546,0.0007640000000000001,0.0007640000000000001,0.0007640000000000001,0.0007680249400436878
20,10.0,1.0530126094818115,0.375,0.0007999993907653151,0.0007999993907653151,0.0007999993907653151,0.0005554364761337638
21,10.5,0.9317772326649078,0.5568181818181818,0.0007999262848486577,0.0007999262848486577,0.0007999262848486577,0.00027070948272012174
22,11.0,0.7769012451171875,0.5,0.0007997313575114625,0.0007997313575114625,0.0007997313575114625,0.00017350776761304587
23,11.5,0.8719619945902235,0.5511363636363636,0.0007994146681304848,0.0007994146681304848,0.0007994146681304848,9.35079442569986e-05
24,12.0,0.9994701743125916,0.375,0.0007989763131723776,0.0007989763131723776,0.0007989763131723776,0.00018522822938393801
25,12.5,0.8799541916006473,0.5511363636363636,0.0007984164261643079,0.0007984164261643079,0.0007984164261643079,0.0002076078235404566
26,13.0,0.7659763097763062,0.625,0.0007977351776532819,0.0007977351776532819,0.0007977351776532819,0.00025075190933421254
27,13.5,0.7957343510547557,0.6079545454545454,0.0007969327751541955,0.0007969327751541955,0.0007969327751541955,0.00015640306810382754
28,14.0,0.7271569967269897,0.75,0.0007960094630866231,0.0007960094630866231,0.0007960094630866231,0.0001333487016381696
29,14.5,0.8047674306169492,0.6420454545454546,0.0007949655227003647,0.0007949655227003647,0.0007949655227003647,0.00034860786399804056
30,15.0,1.0160926580429077,0.375,0.0007938012719897747,0.0007938012719897747,0.0007938012719897747,0.0003928405640181154
31,15.5,0.8801714266843902,0.5568181818181818,0.000792517065596898,0.000792517065596898,0.000792517065596898,0.00038367536035366356
32,16.0,0.5961179733276367,0.75,0.0007911132947034425,0.0007911132947034425,0.0007911132947034425,0.00031331609352491796
33,16.5,0.6893927642208603,0.6306818181818182,0.0007895903869116206,0.0007895903869116206,0.0007895903869116206,0.00020456167112570256
34,17.0,0.6027228236198425,0.625,0.0007879488061138987,0.0007879488061138987,0.0007879488061138987,0.00015426587196998298
